TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190,WGAAD-191,WGAAD-192,WGAAD-193,WGAAD-194,WGAAD-195,WGAAD-196,WGAAD-199,WGAAD-20,WGAAD-200,WGAAD-201,WGAAD-202,WGAAD-230,WGAAD-231,WGAAD-232,WGAAD-234,WGAAD-236,WGAAD-237,WGAAD-238,WGAAD-239,WGAAD-24,WGAAD-242,WGAAD-243
GI_10835009-S,104.5,63.8,109.3,71.6,58.1,86.6,152.4,138.5,132.7,119.1,95.5,71.6,60.2,97.5,85.9,110.4,115.1,193.2,179.4,143.9,136.6,119.7,86.1,136.1,115.2,98.2,94.9,162.4,109,109.3,90.7,95,66.9,71.2,53.8,58.8,84.7,79.4,173.8,76.9
GI_10835020-S,815.1,255.9,616.3,343.8,287.5,429.1,238.2,429.4,269.2,346.8,395.1,468.6,276.3,409.2,292.2,311.3,374.5,363.2,288.2,361.4,338.9,235.9,297.7,326.8,396.9,353.5,332.6,264.3,348,325.3,634.7,585.7,178.6,779.4,281.7,224.7,438.1,377.8,1193.1,476.1
GI_10835022-S,807.2,576.3,553.9,882.6,1257.8,1008.3,269.2,498.7,400.8,830.2,889.3,643.4,852.9,1352.3,611.7,638.9,920.2,488.6,282.1,593.1,465.5,821.8,861.5,718.7,711.6,737.3,746.4,568.4,928.3,900.1,1019.8,652.2,488.5,762.2,1249.4,1077.9,906.1,970,656.9,673.6
GI_10835024-S,2594.9,2566.1,2409.7,2325.7,2475.9,2710,1827.8,1801,1886,1624.2,1785,2318.5,2534.7,2068.2,1887.7,2188.9,1762.8,1462.2,1705.5,1924,1767.8,2347.8,1931.4,2421.2,1935.6,2386.2,2268.6,2140.8,2332,2260,2037.8,1648.8,1835.6,2373.3,2626.8,2174.5,2000.4,2446.6,2047.2,1674.6
GI_10835046-S,208.1,174.4,138.9,204.1,408.7,227.9,302.9,220.6,180.2,350.4,277.8,201.3,172.5,409.2,211.2,195.5,286,195.1,264.2,195.3,234.2,229.9,199.7,329.9,265.6,172.6,197,214.3,253,269.8,322.9,271.8,396.6,298.2,214.7,192.3,269.3,324.3,425.1,145.5
GI_10835048-S,956.9,912,809.4,859.6,893.1,896.5,1504.9,1174.5,1092.1,1112.8,959.6,872.5,848.1,850.2,873,848.3,941.9,1430.8,1282.6,1057.7,1205.6,1013,935.4,1260.6,944,748.9,679.8,1106.2,817,874.4,858.4,965.5,1014.7,1178,541.6,693.1,864,825.9,1359.5,786.9
GI_10835070-S,823.8,1084,2987.3,1195.1,958.3,1355.7,1817.6,2086.8,961.5,2098.3,1952.4,1738.3,169.5,876.6,861.2,1394.8,1182.5,939.2,2114.6,1707.6,1524.9,1181.4,912.2,938.3,894.7,1314.7,627.9,2039.3,851.6,1232.3,1077.3,864.5,864.8,470.1,598.2,691.1,727.6,1408.7,1773.4,828.3
GI_10835084-S,2616.9,3995.7,3926.6,3243.2,919.1,1523.4,4179.1,3649.6,3688.4,3605.1,2518.5,3471.1,1356.2,2803.9,5218.7,4155.1,2498.8,3004.7,3706.3,3963,5263.1,1877.8,2767.1,1821,1081.5,3861.7,3419.7,4107.1,2815.7,2958.5,2003.3,3523.6,3595.3,1636.8,1224.3,3119,1707.7,1816,4290.2,2541.2
GI_10835100-S,212.7,209.9,211.1,212.9,183,136.1,136.3,151,163.3,252.3,162.2,291,258.2,213.1,233.2,254.4,277.4,230.9,209.1,237.3,147.1,125.4,202.4,95.2,115,277.7,180.7,251,258.7,208.6,266.5,213.3,214.3,274.4,208.2,291.6,224.4,183.8,197.5,202
GI_10835118-S,163.7,98,189.8,152.9,193.4,122.7,119.4,156.9,102.6,110.7,162.5,80.8,172.6,192.3,125.1,117.6,158.3,151.6,95.6,128.3,80.6,145,103.4,91.4,157.7,121.6,180.9,104.2,150.9,146,133.3,139.1,135.5,132.7,116.9,123.9,157.9,118.1,123.3,116.5
GI_10835168-S,966.9,1470.6,986.4,1166.4,850.4,1211.3,944.2,792.6,941.4,970.8,881.1,1164.3,717.8,736.2,706.9,967.7,697.9,849.1,1137.7,1012,918.3,980.2,1033.9,1270.7,1207.9,936.4,1118.6,927.9,858.7,835.1,649.6,1047.7,1082.9,603.5,911.1,1002.6,929.6,1105.7,794,1206.7
GI_10835174-S,991.6,1248.2,1694.3,1190.1,460,961.7,1071.2,940,1589.8,1240.6,692,1120.3,899.6,354.2,1224.9,1727.4,1179.4,1177.2,1003.6,1053.6,1320.6,889.8,1279.3,1210.4,824.3,1496,1247.4,1056.4,1056.9,503.1,564.8,752.8,851.5,1007,1158.5,1589.8,1090.8,1266.8,698.1,1843.3
GI_10835186-S,72,76.4,163.1,180.6,76.6,75.5,104.2,187.7,85.1,92.1,347.8,105.1,36.4,117.3,69.8,111.4,125.6,180.3,74.9,147.1,115.7,47.7,52.3,56.1,103.2,NaN,57.1,70.3,67.9,74.5,225.5,145.6,73.6,138.1,55.5,59,84.2,108.5,275.5,NaN
